106,265
105,266
105,274
104,275
104,282
105,283
105,293
104,294
104,297
103,298
103,300
102,301
102,304
103,305
103,306
102,307
103,308
103,309
104,309
105,310
106,310
107,309
116,309
118,311
120,311
122,309
123,309
123,308
124,307
125,308
127,308
128,307
129,308
129,309
128,310
127,310
128,310
129,311
130,310
131,310
132,309
132,308
133,307
133,306
134,305
132,303
132,302
131,302
128,299
128,298
124,294
124,293
122,291
122,290
121,289
121,288
120,287
120,286
119,285
119,283
118,282
118,281
117,280
117,279
116,278
116,273
115,272
115,270
116,269
115,268
115,267
112,267
111,266
107,266
