49,125
47,127
47,128
45,130
45,131
42,134
42,135
41,136
41,137
39,139
39,140
38,141
38,142
37,143
37,144
36,145
36,146
35,147
35,148
33,150
33,151
32,152
32,154
31,155
31,157
30,158
30,159
29,160
29,163
35,163
36,164
37,164
38,165
39,165
40,166
41,166
42,167
44,167
46,169
47,169
48,170
49,170
50,171
51,171
52,172
53,172
54,173
55,173
56,174
57,174
59,176
60,176
61,177
62,177
63,178
64,178
65,179
66,179
67,180
68,180
70,182
71,182
72,183
73,183
74,184
75,184
76,185
77,185
78,186
79,186
80,187
81,187
82,188
83,188
84,189
85,189
86,190
89,190
91,188
92,188
100,180
100,179
103,176
103,175
105,173
105,172
106,171
106,170
108,168
108,167
109,166
109,165
110,164
110,162
111,161
111,160
112,159
112,157
113,156
113,153
110,150
109,150
108,149
107,149
106,148
104,148
103,147
101,147
100,146
99,146
98,145
96,145
95,144
93,144
92,143
91,143
90,142
89,142
88,141
87,141
86,140
84,140
83,139
82,139
81,138
79,138
78,137
77,137
76,136
75,136
74,135
73,135
72,134
70,134
69,133
67,133
66,132
65,132
64,131
63,131
62,130
61,130
60,129
58,129
57,128
56,128
55,127
53,127
52,126
51,126
50,125
