218,72
219,71
221,71
222,72
227,72
228,73
231,73
233,75
234,75
235,76
236,76
243,83
243,84
244,85
244,86
245,87
245,88
246,89
246,91
247,92
247,98
248,99
248,104
247,105
247,111
246,112
246,114
245,115
245,116
243,118
243,119
241,121
241,122
239,124
238,124
235,127
234,127
233,128
232,128
231,129
228,129
227,130
223,130
222,131
220,131
219,130
215,130
214,129
212,129
211,128
209,128
208,127
207,127
198,118
198,117
196,115
196,114
195,113
195,111
194,110
194,108
193,107
193,105
192,104
192,94
193,93
193,91
194,90
194,88
195,87
195,86
196,85
196,84
204,76
205,76
206,75
207,75
208,74
209,74
210,73
211,73
212,72
